TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20140101140168,77,2,48,-1,0,3,-1,0,0,0,-1
20140101140559,73,4,47,10,0,4,-1,0,0,0,0
20140101140559,54,4,34,5,0,5,-1,0,0,0,0
20140101140852,85,1,44,-1,0,2,-1,60,0,0,-1
20140101140872,76,4,39,5,0,7,-1,0,0,0,0
20140101140875,85,2,33,-1,0,3,-1,60,0,0,-1
20140101140885,85,4,43,3,0,2,-1,0,0,0,0
20140101140958,61,1,40,-1,0,5,-1,0,0,0,-1
20140101140967,66,4,49,5,0,2,-1,0,0,0,0
20140101141014,70,4,47,2,0,6,-1,0,0,0,0
20140101141014,85,4,47,2,0,7,-1,60,0,0,0
20140101141386,85,4,33,3,0,2,-1,60,0,0,0
20140101141409,60,3,41,-1,0,5,-1,0,0,0,-1
20140101141646,85,4,47,5,0,5,-1,60,0,0,0
20140101141646,85,4,48,5,0,6,-1,60,0,0,0
20140101141860,80,4,34,15,0,4,-1,60,0,0,0
20140101141860,80,4,43,2,0,5,-1,61,0,0,42
20140101141860,70,4,43,2,0,6,-1,42,0,0,42
20140101141928,74,1,33,-1,0,4,-1,0,0,0,-1
20140101141928,75,1,34,-1,0,5,-1,0,0,0,-1
20140101142008,74,1,44,-1,0,2,-1,0,0,0,-1
20140101142020,72,3,47,-1,0,3,-1,0,0,0,-1
20140101142043,80,4,47,13,0,3,-1,60,0,0,0
20140101142188,77,1,44,-1,0,3,-1,0,0,0,-1
20140101142230,80,4,44,10,0,3,-1,0,0,0,0
20140101142319,71,1,38,-1,0,2,-1,0,0,0,-1
20140101142328,85,4,24,2,1,2,2,0,42,0,42
20140101142328,80,4,24,2,1,3,3,0,42,0,42
20140110131331,72,4,26,2,1,7,7,0,0,0,0
20140110131797,67,4,24,2,1,2,2,0,0,0,0
20140111130153,75,4,43,3,0,2,-1,0,0,0,0
20140111130154,85,4,43,10,0,3,-1,60,0,0,0
20140111130176,66,4,34,6,0,5,-1,0,0,0,0
20140111130562,85,4,33,8,0,3,-1,60,0,0,0
20140111130793,85,4,56,6,0,5,-1,61,0,0,0
20140111130859,78,4,33,2,0,4,-1,0,0,0,42
20140111130902,63,4,43,20,0,2,-1,0,0,0,0
20140111130981,58,4,41,5,0,4,-1,0,0,0,0
20140111130997,85,4,33,3,0,3,-1,60,0,0,0
20140111131019,76,4,33,8,0,2,-1,0,0,0,0
20140111131019,78,4,34,8,0,3,-1,0,0,0,0
20140111131069,59,4,33,10,0,6,-1,0,0,0,0
20140111131123,85,1,49,-1,0,6,-1,60,0,0,-1
20140111131184,85,4,33,6,0,2,-1,60,0,0,0
20140111131184,85,1,41,-1,0,3,-1,60,0,0,-1
20140111131221,60,2,56,-1,0,2,-1,0,0,0,-1
20140111131221,85,3,56,-1,0,3,-1,60,0,0,-1
20140111131221,85,2,56,-1,0,4,-1,60,0,0,-1
20140111131221,85,3,56,-1,0,5,-1,60,0,0,-1
20140111131419,80,1,44,-1,0,3,-1,60,0,0,-1
20140111131525,80,4,48,2,0,3,-1,60,0,0,0
20140111131646,80,2,43,-1,0,3,-1,60,0,0,-1
20140111131652,85,4,48,5,0,10,-1,60,0,0,0
20140111131652,85,4,47,5,0,11,-1,60,0,0,0
20140111131710,85,4,33,2,0,2,-1,60,0,0,0
20140111131854,62,4,33,3,0,4,-1,0,0,0,42
20140111131854,62,4,34,2,0,5,-1,0,0,0,42
